sa2,lga
Acacia Gardens,Blacktown
Bidwill - Hebersham - Emerton,Blacktown
Blacktown - South,Blacktown
Blacktown - West,Blacktown
Blacktown (East) - Kings Park,Blacktown
Blacktown (North) - Marayong,Blacktown
Doonside - Woodcroft,Blacktown
Glendenning - Dean Park,Blacktown
Glenwood,Blacktown
Hassall Grove - Plumpton,Blacktown
Kellyville Ridge - The Ponds,Blacktown
Lalor Park - Kings Langley,Blacktown
Lethbridge Park - Tregear,Blacktown
Marsden Park - Shanes Park,Blacktown
Mount Druitt - Whalan,Blacktown
Prospect Reservoir,Blacktown
Quakers Hill,Blacktown
Riverstone,Blacktown
Rooty Hill - Minchinbury,Blacktown
Schofields - East,Blacktown
Schofields (West) - Colebee,Blacktown
Seven Hills - Prospect,Blacktown
Stanhope Gardens - Parklea,Blacktown
Toongabbie - West,Blacktown
Carlingford - East,Parramatta
Carlingford - West,Parramatta
Eastwood,Parramatta
Epping (East) - North Epping,Parramatta
Epping (NSW) - West,Parramatta
Ermington - Rydalmere,Parramatta
North Parramatta,Parramatta
North Rocks,Parramatta
Northmead,Parramatta
Oatlands - Dundas Valley,Parramatta
Parramatta - North,Parramatta
Parramatta - South,Parramatta
Rosehill - Harris Park,Parramatta
Silverwater - Newington,Parramatta
Toongabbie - Constitution Hill,Parramatta
Wentworth Point - Sydney Olympic Park,Parramatta
Winston Hills,Parramatta
Auburn - Central,Cumberland
Auburn - North,Cumberland
Auburn - South,Cumberland
Berala,Cumberland
Granville - Clyde,Cumberland
Greystanes - South,Cumberland
Guildford - South Granville,Cumberland
Guildford West - Merrylands West,Cumberland
Lidcombe,Cumberland
Merrylands - Holroyd,Cumberland
Pemulwuy - Greystanes (North),Cumberland
Pendle Hill - Girraween,Cumberland
Regents Park,Cumberland
Rookwood Cemetery,Cumberland
Smithfield Industrial,Cumberland
South Wentworthville,Cumberland
Wentworthville - Westmead,Cumberland
Yennora Industrial,Cumberland
Baulkham Hills - East,The Hills Shire
Baulkham Hills (West) - Bella Vista,The Hills Shire
Box Hill - Nelson,The Hills Shire
Castle Hill - Central,The Hills Shire
Castle Hill - North,The Hills Shire
Castle Hill - South,The Hills Shire
Castle Hill - West,The Hills Shire
Dural - Kenthurst - Wisemans Ferry,The Hills Shire
Glenhaven,The Hills Shire
Kellyville - East,The Hills Shire
Kellyville - West,The Hills Shire
North Kellyville,The Hills Shire
Pitt Town - McGraths Hill,The Hills Shire
Rouse Hill - Beaumont Hills,The Hills Shire
West Pennant Hills,The Hills Shire
